Reward,Action,Angle,AngleSpeed,Action_RL,Action_ubar,Action_uBAR
-0.14731760494372356,-2.3893085502874465,0.3614104398535998,-0.23659577565689338,-3.4325885561624414,4.19977851031638e-10,1.04328
-0.1422029849848036,-2.4469823954745347,0.3444880546779365,-0.338447703513266,-3.490258109836537,4.414092691186968e-10,1.0432757
-0.13585732842061435,-2.3938721359932766,0.32227593549886807,-0.44424238358136836,-3.437142962758591,4.255928374703584e-10,1.0432708
-0.12816906452897675,-2.138260131579095,0.2959040956814791,-0.52743679634778,-3.1815259514758494,3.4719398289321915e-10,1.0432658
-0.11845537856029952,-1.754191353605628,0.26731099965705774,-0.571861920488427,-2.7974534779138134,2.4660085620932543e-10,1.0432621
-0.1058120071258241,-1.286169109292162,0.23897684388336463,-0.5666831154738622,-2.3294299222019528,1.5039116361728244e-10,1.0432608
-0.08996460885060324,-0.8612209947701994,0.21306010584105534,-0.5183347608461857,-1.9044832381259218,8.484836968179578e-11,1.0432622
-0.07263361879266399,-0.6098505239113711,0.190498931266498,-0.4512234914911465,-1.6531161050966134,5.42609243374311e-11,1.0432656
-0.056987952318582336,-0.5812448516402863,0.17067900120712692,-0.39639860118742154,-1.6245146051471733,5.077132105436334e-11,1.0432698
-0.045116332060675,-0.521368876399482,0.15331823669708075,-0.34721529020092334,-1.5646423253878117,4.423787599585352e-11,1.0432734
-0.03582654872740052,-0.5140245602763786,0.1378292234932257,-0.3097802640771006,-1.5573012279145124,4.3224205117383906e-11,1.0432767
-0.02883885657478848,-0.49556081854309925,0.12377575102263096,-0.281069449411895,-1.5388399895742715,4.1182014339414817e-11,1.0432792
-0.02344620476028632,-0.4751470086188228,0.11078842386035263,-0.25974654324556645,-1.5184282062057675,3.9032031367310904e-11,1.0432812
-0.01920291317132725,-0.4266282187854424,0.09874745725743332,-0.2408193320583863,-1.4699110852977146,3.430592347349208e-11,1.0432829
-0.01569525985996197,-0.38053183289791326,0.08754951641081134,-0.22395881693243969,-1.423816129917347,2.9992888749565207e-11,1.0432843
-0.012855852485108813,-0.41854449364918267,0.0764914062102584,-0.22116220401105854,-1.4618301019741942,3.3385528457537214e-11,1.0432856
-0.010918761203376355,-0.42018321129088426,0.06514755331195254,-0.22687705796611723,-1.4634694156624874,3.352946444091558e-11,1.0432862
-0.009529522985308894,-0.3714826236032189,0.05345888623071514,-0.23377334162474805,-1.4147689471797151,2.913295446333239e-11,1.0432863
-0.008437976816281289,-0.33930336546022966,0.04122919741853244,-0.24459377624365403,-1.3825896890339286,2.6335686810030012e-11,1.0432863
-0.007804181371243504,-0.3488883972764065,0.02792850254647361,-0.2660138974411766,-1.3921747208510016,2.7231750831736796e-11,1.0432863
-0.007941740610558475,-0.2922327717515887,0.01348324458541156,-0.288905159221241,-1.3355184992749765,2.2472251439764642e-11,1.0432857
-0.008575263736066341,-0.216441098341448,-0.0020797152612775493,-0.3112591969337822,-1.259726349021601,1.639574914739202e-11,1.0432853
-0.009714551940969379,-0.1483170853782157,-0.018833042514381095,-0.33506654506207084,-1.1916018592160542,1.1239388702203548e-11,1.0432848
-0.011582846073393094,-0.03469324230062472,-0.03655276643121115,-0.35439447833660115,-1.0779776585025203,3.16506660637281e-12,1.0432844
-0.013909677660792359,0.11844112237944426,-0.05475460545223011,-0.36403678042037924,-0.924843055393434,-7.273075836529208e-12,1.0432842
-0.016331315968865126,0.28455474122249846,-0.07287455578504096,-0.362399006656217,-0.7587299133748041,-2.0006993946555845e-11,1.0432847
-0.018553265584609447,0.330546065172692,-0.09124578826965467,-0.36742464969227423,-0.7127395430950949,-2.3839032176412084e-11,1.0432856
-0.021965140378252878,0.3731744647657221,-0.1102351832196667,-0.37978789900024057,-0.6701117395448639,-2.7487729656618437e-11,1.0432862
-0.026904479335132448,0.5734098821586792,-0.12904945628827724,-0.3762854613722108,-0.469876679760766,-4.6497129532658145e-11,1.0432866
