Reward,Action,Angle,AngleSpeed,Action_RL,Action_ubar,Action_uBAR
-0.20642634202162355,-1.6198546428674965,0.357462350789136,-0.6707398202236866,-2.663103892543539,2.1772963804806645e-10,1.0432492
-0.17489678847323256,-1.4588576346467013,0.3261051071577847,-0.6271448726270265,-2.502110222148736,1.8361416893807896e-10,1.0432526
-0.14709065811138847,-1.189557930813557,0.2978395232802648,-0.5653116775503975,-2.2328138561261763,1.3409149493602235e-10,1.0432559
-0.1218297173144266,-1.0787058955650708,0.27248822779834914,-0.5070259096383135,-2.1219659931845434,1.1581044597952026e-10,1.0432601
-0.10143130254257261,-1.2140596976391578,0.24812381046086937,-0.4872883467495953,-2.257323729186548,1.3717285316545377e-10,1.043264
-0.08682232858645995,-1.229597487409292,0.2237468742751745,-0.4875387237138971,-2.27286342630788,1.397380921388763e-10,1.0432659
-0.07535220976140834,-1.2329417267007905,0.1984435494281555,-0.5060664969403801,-2.2762083808558495,1.404716149430033e-10,1.0432667
-0.06656239955404702,-1.2538848877992859,0.171128975382021,-0.5462914809226903,-2.2971516611676295,1.4446673688357329e-10,1.0432668
-0.06062223418915016,-1.2221578298154614,0.14103427793542153,-0.601893948931989,-2.2654236495046822,1.3966030212964179e-10,1.0432658
-0.057278269519700296,-1.0770187513874367,0.10813320979270546,-0.6580213628543211,-2.120283021333081,1.168480640046641e-10,1.0432643
-0.055038061211152435,-0.2146130327202065,0.077669641521636,-0.6092713654213895,-1.2578759912650361,1.8218325154714258e-11,1.043263
-0.0432661537968793,-0.3352922762835751,0.04760106519492703,-0.6013715265341794,-1.3785588111172034,2.8330410644761982e-11,1.0432665
-0.038529174032097005,0.31391293665663567,0.021671201805466646,-0.5185972677892077,-0.729355267057596,-2.1119898606969533e-11,1.0432682
-0.027809384378339894,-0.6674060044706799,-0.008451600158854027,-0.6024560392864134,-1.710679453476482,6.17102607807317e-11,1.0432734
-0.04065939334308454,2.0718677251630084,-0.023352325417335413,-0.2980145051696277,1.0285968991387464,-3.1545958161587784e-10,1.0432708
-0.011868539148020156,-1.562671915813817,-0.05084872265755716,-0.549927944804435,-2.605958358773158,2.026883945462641e-10,1.0432864
-0.038864832541533556,2.4570644065521416,-0.06182314234151536,-0.21948839367916406,1.4137889314844407,-4.343135774534176e-10,1.0432755
-0.01033861706457012,-1.3034571874844494,-0.08489038221230844,-0.4613447974158613,-2.346749352438551,1.515504656463527e-10,1.0432922
-0.03135718973822528,1.6931953625631113,-0.09843822412365702,-0.2709568382269716,0.6499139268183439,-2.2172452592000742e-10,1.0432814
-0.017746529553725483,-0.8453903044809457,-0.12201196789445098,-0.4714748754158792,-1.8886815156912602,8.2079630009003e-11,1.0432912
-0.04742776160647775,3.211228033347889,-0.12606560626802182,-0.08107276747141695,2.167945286824185,-7.44972585732022e-10,1.0432827
-0.016603427683811848,-0.2315410061750204,-0.1365707504799053,-0.21010288423766982,-1.2748430653660545,1.7450132857885202e-11,1.043302
-0.023189651642039757,-0.351794768148224,-0.15481985306819168,-0.36498205176572746,-1.3950907476764094,2.8368492855820513e-11,1.043296
-0.04159532331081029,2.0748365226305756,-0.16329026084454387,-0.16940815552704383,1.0315470999590586,-3.17374441264722e-10,1.0432894
-0.029538264112148434,-0.06813596379162566,-0.17836789736137906,-0.3015527303367036,-1.1114352811572796,5.729651737853318e-12,1.0432993
-0.042669646840919576,1.3270776595391929,-0.19014583649939332,-0.2355587827602853,0.2837840643746478,-1.494809409116508e-10,1.0432936
-0.04202247976843203,0.5641335097538486,-0.2047803532527917,-0.29269033506796766,-0.479163900212234,-4.5208996939009454e-11,1.0432974
-0.053801934349038835,1.8166392174784425,-0.21341577990393007,-0.17270853302276723,0.7733438342759694,-2.5089599281424407e-10,1.0432954
-0.04880695772724914,0.5271042376596126,-0.2260404028571133,-0.2524924590636645,-0.5161973446351609,-4.165230348466425e-11,1.0433016
-0.05982606181116862,1.5351071294736853,-0.235556238080749,-0.19031670447271412,0.49180876597699613,-1.8891869205081694e-10,1.0432984
-0.06004690601809329,0.968565908549053,-0.24655972520180466,-0.22006974242111352,-0.07473591211239763,-9.355422251320653e-11,1.0433018
-0.06815692859436538,1.5881314019458077,-0.25480482093719886,-0.1649019147078837,0.5448305350650446,-1.999253684075174e-10,1.0433009
-0.06979263124473972,1.4655614366068752,-0.2615103260061336,-0.13411010137869495,0.42225747026024846,-1.7559000175220442e-10,1.043304
-0.07277844236558913,1.6100434244375212,-0.26583574871836596,-0.08650845424464662,0.5667376699810404,-2.050789865272964e-10,1.0433058
-0.07357240052882733,1.4681225993060931,-0.26900209261359104,-0.06332687790450156,0.4248144606353659,-1.7662389604720927e-10,1.0433081
-0.07496244113122452,1.4829989731015936,-0.2710123023334556,-0.04020419439729122,0.4396895231317382,-1.796806404134882e-10,1.0433095
-0.07577282539003272,1.4708907672696034,-0.27202984107563055,-0.020350774843499654,0.4275801252046426,-1.7747061197680182e-10,1.0433106
-0.07604686811191287,1.4160572984901052,-0.27250271961404765,-0.009457570768341684,0.3727457027404839,-1.67126705535408e-10,1.0433116
-0.0762152275701629,1.3959050141849851,-0.27259915981408195,-0.0019288040006854917,0.3525929415945216,-1.6344268491581612e-10,1.0433121
-0.0761135158200114,1.3426994675580508,-0.27272168628804355,-0.002450529479231878,0.2993871565393693,-1.5380374928790253e-10,1.0433123
-0.07638698974093938,1.4174875871317203,-0.27231381314230685,0.008157462914734537,0.37417527612675683,-1.6752167679520948e-10,1.0433123
