Reward,Action,Angle_unwrap,AngleSpeed,Angle
-0.7784302413654167,1.9266951613677141,-0.8864228873609304,-1.2342245145679147,-0.8864228873609304
-0.9416802689258198,1.898346241466597,-0.9629520901414351,-1.5305840556100911,-0.9629520901414351
-1.165022584244686,1.8646986909803076,-1.0562790932013773,-1.8665400611988456,-1.0562790932013773
-1.4675473762504672,1.8505873419334269,-1.1683715812024915,-2.241849760022288,-1.1683715812024915
-1.87113263719244,1.8578080578009333,-1.301034785528152,-2.653264086513206,-1.301034785528152
-2.4001853893386187,1.8742584950475838,-1.4557848438936265,-3.0950011673094857,-1.4557848438936265
-3.0787472251802983,1.238745698357744,-1.6384965645198113,-3.6542344125236963,-1.6384965645198113
-4.024013906110464,-2.108700858389152,-1.873622380673148,-4.702516323066729,-1.873622380673148
-5.725826802230216,-2.150155833362675,-2.159541853799401,-5.718389462525066,-2.159541853799401
-7.937618822823125,-2.16807934801604,-2.4916477506120094,-6.64211793625217,-2.4916477506120094
-10.624081581038164,-2.154425283943204,-2.8614464927860213,-7.395974843480233,-2.8614464927860213
-13.661920419616663,-2.1540168425310973,-3.256613839244297,-7.903346929165527,3.0265714679352897
-15.410424118794987,-2.17733624213936,-3.6566138392442973,-8.0,2.6265714679352894
-13.30287767617174,-2.1751321367779,-4.053143090995053,-7.93058503501512,2.230042216184534
-11.266506185725806,-2.1782632595695084,-4.435030304067702,-7.6377442614529825,1.8481550031118845
-9.249259628575354,0.2626265639008772,-4.778880991795912,-6.87701375456421,1.5043043153836744
-6.995391288870136,1.7686145825636832,-5.072049936884518,-5.8633789017721245,1.2111353702950682
-4.907925469473693,1.7763360378242634,-5.3167957539579245,-4.894916341468123,0.966389553221662
-3.33331537636246,1.8401110807038816,-5.5168842620167915,-4.001770161177321,0.766301045162795
-2.1919775649841475,1.8286144693834496,-5.6772528504356465,-3.2073717683771013,0.6059324567439399
-1.3993260225885515,1.8570176074983653,-5.802336477679017,-2.501672544867407,0.48084882950056973
-0.8605773467170997,1.8775509875085228,-5.895993525645455,-1.8731409593287909,0.38719178153413153
-0.5040965622417822,1.8202695412189767,-5.961838943075128,-1.3169083485934845,0.3213463641044581
-0.2790043013510394,1.521859312933797,-6.004426254722168,-0.8517462329408022,0.2787590524574182
-0.15119485763172447,0.9700947231496216,-6.029419250319385,-0.499859911944313,0.25376605686020187
-0.08975265831198716,0.6078269002885903,-6.0404391250863485,-0.2203974953392811,0.24274618209323798
-0.0638472430833662,0.2530386676775421,-6.0405473649316495,-0.0021647969060248906,0.24263794224793703
-0.05887377198359664,-0.011503508990488402,-6.031731976223827,0.17630777415647436,0.25145333095575967
-0.06644299992652196,-0.3252370750296113,-6.016025421282659,0.3141310988233092,0.26715988589692713
-0.08159817595452387,-0.5966042216339109,-5.994893655055243,0.4226353245483668,0.2882916521243433
-0.10164829380672333,-0.8210696477944148,-5.969258106383416,0.5127109734365404,0.31392720079617065
-0.1259588614529133,-1.0589238995174075,-5.939984626475169,0.5854695981649599,0.3432006807044179
-0.15352082561191527,-1.206918944417732,-5.907144182319669,0.6568088831099309,0.37604112485991714
