Reward,Qmax,MaxAngle,MaxAngleSpeed
-959.8435407136026,-0.2523633238939035,-0.6308583091097546,7.433663165025548
-1628.2514977828337,-0.34234590723586444,3.6916249983788716,0.632311564481262
-1640.12315231065,-0.3912673389267682,72.00050392363445,8.0
-1498.6372647817193,-0.45133145799364277,-2.4320070199352273,1.076700911605624
-1774.0520686456564,-0.49713736875497516,-2.1592707719423125,1.485788396514009
-1634.4172285505488,-0.608706546563599,-0.6676119534822668,3.339197706716776
-1692.4389507565838,-0.6957424660423892,4.194967945187948,4.049306162529872
-1916.0191516385557,-0.852790891038413,-3.099497715355725,0.19701243991053724
-1203.3092940579,-0.9659383986613259,4.238684189072162,5.0893088063223635
-1459.3860650091412,-1.1515781809037655,-1.6662713593736564,-0.41358466987927034
-1416.5131470356896,-1.3125983842054205,-1.0511088307777978,4.099614756153029
-1575.9061260336923,-1.4567727575350047,4.376228498623988,5.595220944024029
-1492.3564063224503,-1.5685639567111604,-1.5611769325524043,3.080426533356871
-1502.0663778403543,-1.7324192514970673,4.238536090061864,4.798080157210304
-1503.8704394186034,-1.8972653650758255,-1.8397932926680467,2.3322535470622134
-1506.5561459646758,-2.059915502466748,-2.472010364701179,1.2117881058666358
-1504.3745079271307,-2.5280075073242188,3.7877280247015013,3.3665748257767767
-1425.3986541718825,-2.534079470826154,4.313010205389597,5.7589342275885755
-1497.8737024274985,-2.5325013195449984,3.634732940550939,2.639248553018055
-1536.7116593499277,-2.8410088354019662,3.7714529229514615,3.772880418043637
-1542.1415585062841,-3.215582713409884,3.826333971167797,4.17230889422106
-1372.791336675239,-3.1280943544665774,-0.5537837816074972,2.4585664089118398
-1498.1104335333646,-3.448169288323752,3.978563587698676,4.481191280648206
-1483.0369859950154,-3.4431718782563903,-1.7487348988082874,2.1499484020282247
-1387.2457777453671,-3.8764828410579932,4.641184750813608,6.285409077461117
-1385.7902108251733,-3.8348362505735465,4.571847151971881,6.13392623740231
-1444.5690416142143,-3.965376897672912,4.54941826445059,6.010694419761893
-1533.505706621231,-4.323342892991837,3.704536260446969,2.119752449299525
-1518.6042407182904,-5.034153627390838,-2.084336791422525,2.5098666775082115
-1574.43326894902,-4.896845130465138,-2.638784677035036,1.556723153592981
-1489.4194437721696,-5.275367448377849,3.877024388852852,3.1407215446693546
-1494.8879574656833,-5.726314016922036,-2.6226008445550315,0.6860244566748835
-1438.2944388087872,-5.439775941958978,4.202663989214017,5.311755050986409
-1462.9534157936662,-6.181825148699871,4.1660539002745685,4.935233450532673
-1386.2972614374862,-6.485199251965661,-0.519389278319344,4.081816829812598
-1472.4571427154656,-7.1633623149526775,-1.5870402333136664,3.562331258623711
-1414.1946501408784,-6.521187899250481,4.401644919587528,5.382793950457007
-1390.8620517017084,-7.303998629651477,-1.2618417529748347,4.1735902126566975
-1452.599732056802,-7.828117610222131,-1.3923485497431987,3.807069609989
-1519.827938706362,-8.444463814323273,2.8345505439323904,0.3321513133739189
-1011.0466221515092,-7.7695575386435545,4.619104963986315,5.259291069899114
-1513.137853133102,-7.163368470105693,4.041865009918092,2.39242726654523
-1018.0067880964068,-7.426910785125129,-0.45782927834610826,4.771002558687186
-1118.2249675146181,-7.549310512129386,-1.3137805071585964,4.6547552965525
-956.4201846588758,-7.855406230119006,4.718316833875743,5.241243946770308
-1039.6727124619258,-7.356369733361143,5.058803759910581,5.40828051795647
-1080.3115852048704,-7.231831904182482,4.960380837617003,4.742636755584151
-1034.1551976228757,-8.763449230086264,-1.0091901352515404,5.149962838582036
-1506.5267313485817,-9.551668917413933,-2.4158374945673833,1.1348241957032867
-528.7597334643883,-6.798218011856079,25.087404842608784,6.340441859526333
-1577.5050911005437,-6.262702780752326,-2.692727818586873,0.41576651578797186
-1148.2875500627777,-7.152173707682882,5.084602635643815,4.759246115838352
-1504.3336778170183,-7.0150334409732915,-2.5361894197335944,2.2279800659455797
-782.256807082701,-6.807691948797236,12.35882301433488,6.412084305578202
-823.3506425014135,-6.613119351354675,14.144385440350383,5.738958763992056
-960.8040158783549,-6.243847313088987,-1.0916514060007758,4.871834071576622
