Reward,Action,Angle_unwrap,AngleSpeed,Action_RL,Action_ubar,Action_uBAR,Angle
-0.2021509640563019,-6.057405536666797,0.3590686641141419,-0.8350737255093799,-7.1006810159202205,3.751407705597809e-09,1.0432755,0.3590686641141419
-0.21862897961894467,-4.468093706114341,0.2969818667799951,-1.2417359466829356,-5.511338546479569,1.6506280828801687e-09,1.0432448,0.2969818667799951
-0.24533416330890825,-1.7161346055367772,0.2329978923648215,-1.279679488303472,-2.7593683580362973,2.4884882304587174e-10,1.0432337999999999,0.2329978923648215
-0.22160224965445227,1.8858081900182204,0.19181605844068236,-0.8236366784827829,0.8425731267285559,-2.6319192559487717e-10,1.0432351,0.19181605844068236
-0.11177098849114896,2.6720498500616734,0.17782367187856238,-0.27984773124239937,1.6287983361362828,-5.094245665901855e-10,1.0432515,0.17782367187856238
-0.04566316205743831,-2.492073134743832,0.15177403622245042,-0.5209927131222389,-3.535352544617986,4.655848933583705e-10,1.0432794,0.15177403622245045
-0.05964602310089333,3.076901739898834,0.15447086406953053,0.05393655694160216,2.0336338944757024,-6.843512643467991e-10,1.0432678,0.15447086406953053
-0.03806425185914239,-3.7298912578362873,0.1349631556816952,-0.3901541677567067,-4.773189980195365,1.0456015854678301e-09,1.0432987,0.1349631556816952
-0.03440893283344913,0.9858255322798428,0.12789490635465672,-0.14136498654076954,-0.057449466287655765,-9.735726439411684e-11,1.043275,0.12789490635465672
-0.029497959925594158,-3.338030394133728,0.10057442380743024,-0.5464096509445298,-4.381318983489465,8.318725001045251e-10,1.0432886000000001,0.10057442380743024
-0.07002436009307418,5.482042931640109,0.11813444903097099,0.35120050447081563,4.438774253792307,-2.7247088511109874e-09,1.0432687,0.11813444903097099
-0.03713638442420987,-3.29339595893103,0.1154137494975766,-0.05441399066788777,-4.336713158482312,7.979254756565267e-10,1.0433172,0.1154137494975766
-0.02489864889275739,-3.358902660338272,0.09181969357988932,-0.4718811183537457,-4.402196614117137,8.369703871989447e-10,1.043294,0.09181969357988932
-0.05258886601465355,4.678763821745081,0.10675476863223757,0.2987015010469648,3.6354912090583937,-1.7923775450394885e-09,1.0432726,0.10675476863223757
-0.02932984443674948,-3.001833629343228,0.10317179562422314,-0.07165946016028846,-4.0451483253590235,6.575173322146556e-10,1.0433146999999998,0.10317179562422314
-0.021232482545293103,-3.174043999367408,0.07964557483482945,-0.4705244157878736,-4.217337357006669,7.438144457351541e-10,1.0432934,0.07964557483482945
-0.05611498819172697,5.256638471086308,0.09852769497912713,0.3776424028859533,4.213365263006216,-2.4454205763607466e-09,1.0432732,0.09852769497912713
-0.03503731190922802,-3.3268944656511836,0.09614692010644926,-0.04761549745355709,-4.3702139301976635,8.166216867528052e-10,1.0433195,0.09614692010644926
-0.018964928514856174,-3.081229415205116,0.07425688166408896,-0.4378007688472061,-4.12452444172903,6.984142773424666e-10,1.043295,0.07425688166408896
-0.049656034531191086,4.9974992482636855,0.09263016223458696,0.3674656114099599,3.9542242517357655,-2.1369352972782544e-09,1.043275,0.09263016223458696
-0.031801636548255845,-3.117401487739492,0.09109159736822547,-0.03077129732722983,-4.160720594554434,7.129514327065169e-10,1.0433191,0.09109159736822549
-0.017265130502118173,-2.978718536066,0.07062385628694577,-0.4093548216255941,-4.022014754635378,6.509820065742182e-10,1.0432962,0.07062385628694577
-0.04195267283459062,4.495309417486104,0.08651712941741663,0.31786546260941706,3.4520328707316916,-1.631207919118754e-09,1.0432765,0.08651712941741663
-0.02493214701281371,-2.7098132958183374,0.08532714920194577,-0.023799604309417025,-3.7531297798525984,5.366412468741937e-10,1.0433165,0.08532714920194577
-0.015253969621155869,-2.8136462310845443,0.06623070899110159,-0.3819288042168836,-3.8569430456294067,5.800190387445286e-10,1.0432968,0.06623070899110159
-0.035376131180366865,4.050020150301607,0.0799912561337846,0.2752109428536603,3.0067420534659415,-1.2707190296671733e-09,1.0432781,0.0799912561337846
-0.019700214208717842,-2.3932210186727523,0.07879911981387278,-0.02384272639823654,-3.4365353568236348,4.204747641459158e-10,1.0433143,0.07879911981387278
-0.013580396839420316,-2.704486641817471,0.06027524357590275,-0.3704775247594004,-3.747783694737244,5.363501414303873e-10,1.043297,0.06027524357590275
-0.033465359258066166,4.013339586273074,0.07411036745338008,0.2767024775495467,2.9700606549458164,-1.2441537106749145e-09,1.0432789,0.07411036745338008
-0.01786818000871939,-2.1724196962002083,0.07442893908850465,0.006371432702491464,-3.2157342727004044,3.5121030678706683e-10,1.0433146,0.07442893908850465
-0.0122785895941734,-2.5951614795354945,0.0580723086095107,-0.32713260957987905,-3.6384604397612317,4.936806480375896e-10,1.043299,0.0580723086095107
-0.019917180064564124,2.417273797539645,0.062021719374743475,0.07898821530465544,1.3739926004208394,-4.2910702499385344e-10,1.0432812,0.062021719374743475
-0.009205736540301455,-2.176035167546833,0.05197519003072254,-0.20093058688041854,-3.21933877679236,3.5117895857515104e-10,1.0433036,0.05197519003072254
-0.008099976853005769,-1.1667246461205505,0.03512641804273794,-0.336975439759692,-2.2100128771456893,1.2914296004747258e-10,1.0432881999999999,0.035126418042737945
-0.024828112224675108,3.4984285443664778,0.04583282994790084,0.214128238103258,2.4551467516868217,-9.147046430226372e-10,1.0432818000000001,0.04583282994790084
-0.009296531054894213,-1.6157947018543082,0.04613891103379966,0.00612162171797645,-2.6591067748159203,2.0770589677269018e-10,1.0433120999999999,0.04613891103379966
-0.0066698822590197104,-2.1301022797952784,0.032198820372384154,-0.2788018132283101,-3.173402312752045,3.411051315048178e-10,1.0433,0.032198820372384154
